numero_dpe,date_etablissement_dpe,methode_application_dpe,etiquette_dpe,type_batiment,periode_construction,zone_climatique,code_insee_ban,typologie_logement,nombre_niveau_immeuble,nombre_niveau_logement,nombre_appartement,type_energie_principale_chauffage,type_energie_principale_ecs,type_ventilation,conso_5_usages_par_m2_ep,emission_ges_5_usages_par_m2,cout_chauffage,cout_ecs,cout_total_5_usages,surface_habitable_logement,surface_habitable_immeuble
2131E0000980X,2021-07-01,dpe maison individuelle,C,maison,1989-2000,H2c,31169,,,1,,Électricité,Non affecté,,147.7,20.6,1178,279,1970,,
2167E0610739O,2021-07-01,dpe appartement individuel,F,appartement,1948-1974,,67482,,1,1,1,Électricité,Non affecté,,345.5,11,1177,357,1553,61.8,61.8
2150E0745235V,2021-07-01,dpe maison individuelle,C,maison,2001-2005,,50639,,1,1,1,Électricité,Non affecté,,113.5,4,585,123,846,79.6,79.6
2167E0050657Y,2021-07-01,dpe appartement individuel,E,appartement,avant 1948,H1b,67482,,,1,,Fioul domestique,Non affecté,,207.7,52,1107,573,1720,78,
2176E1027125T,2021-07-01,dpe appartement individuel,G,appartement,avant 1948,H1a,76447,,,1,,Électricité,Électricité,Ventilation par entrées d'air hautes et basses,502,16,1105,249,1366,37,
2128E1031238C,2021-07-01,dpe maison individuelle,E,maison,1978-1982,H1a,28167,,,1,,Électricité,Électricité,VMC SF Auto réglable avant 1982,314,10,1293,411,1828,90,
2150E0739669T,2021-07-01,dpe maison individuelle,C,maison,2001-2005,,50365,,1,1,1,Électricité,Non affecté,,128.8,4,449,94,681,65.8,65.8
2132E0013702G,2021-07-01,dpe maison individuelle,D,maison,1948-1974,H2c,32159,,,2,,Électricité,Non affecté,,201.3,16,3036,278,3375,144.8,
2175E0014903C,2021-07-01,dpe appartement individuel,E,appartement,1948-1974,H1a,75112,,,1,,Électricité,Non affecté,,308.8,12.2,1242,405,1666,45.6,
2194E0134060U,2021-07-01,dpe appartement individuel,C,appartement,2006-2012,H1a,94028,,,3,,Électricité,Non affecté,,198.8,7.2,170,403,620,20.9,
2150E0745082Y,2021-07-01,dpe maison individuelle,C,maison,2001-2005,,50393,,1,1,1,Électricité,Non affecté,,134.2,5,722,120,979,79.7,79.7
2134E0004149X,2021-07-01,dpe appartement individuel,C,appartement,1989-2000,H3,34172,,,1,,Gaz naturel,Non affecté,,214.8,29.4,90,211,607,18.3,
2150E0893426M,2021-07-01,dpe maison individuelle,D,maison,1983-1988,,50591,,1,1,1,Électricité,Non affecté,,180.4,5,434,92,681,47,47
2167E1043715M,2021-07-01,dpe appartement individuel,D,appartement,avant 1948,H1b,67482,,,1,,Électricité,Électricité,VMC SF Auto réglable de 1982 à 2000,205.7,8,827,343,1269,69,
2129E0048971Q,2021-07-01,dpe maison individuelle,B,maison,2006-2012,H2a,29170,T1,1,2,1,Électricité,Électricité,VMC SF Auto réglable de 2001 à 2012,92.6,4,1086,653,1943,177,177
2150E0031585T,2021-07-01,dpe maison individuelle,E,maison,1948-1974,H2a,50188,,,3,,Fioul domestique,Non affecté,,274.8,60.2,4360,783,5252,250,
2129E0292847M,2021-07-01,dpe appartement individuel,C,appartement,1948-1974,H2a,29105,,,1,,Gaz naturel,Non affecté,,167.9,19.3,519,546,1233,51.3,
2131E0000571E,2021-07-01,dpe appartement individuel,C,appartement,2006-2012,H2c,31433,,,1,1,Électricité,Non affecté,,120.7,3.5,208.9,548,1054.4,,
2182E0013946O,2021-07-01,dpe maison individuelle,D,maison,1948-1974,H2c,82037,,,1,,Gaz naturel,Non affecté,,191.5,41.2,2223,211,2649,149.5,
2174E1029068K,2021-07-01,dpe appartement individuel,D,appartement,1989-2000,H1c,74012,,,5,,Gaz naturel,Gaz naturel,Ventilation naturelle par conduit,221.7,48.5,1091,204,1400,76.6,
2135E0002021C,2021-07-01,dpe appartement individuel,E,appartement,1978-1982,H2a,35238,,,1,1,Électricité,Non affecté,,314.2,10,379.6,214,639.6,,
2150E0891747X,2021-07-01,dpe maison individuelle,C,maison,2001-2005,,50365,,1,1,1,Électricité,Non affecté,,139.2,5,613,90,858,66.2,66.2
2154E0001280I,2021-07-01,dpe appartement individuel,D,appartement,1989-2000,H1b,54395,,,1,1,Électricité,Non affecté,,235,7.5,872.9,451.4,1443.9,,
2150E0743520W,2021-07-01,dpe maison individuelle,C,maison,2001-2005,,50237,,1,1,1,Électricité,Non affecté,,136.8,5,586,111,829,64.7,64.7
2150E0774676E,2021-07-01,dpe maison individuelle,D,maison,1983-1988,,50601,,1,1,1,Électricité,Non affecté,,195.8,6,724,112,992,67,67
2150E1044148M,2021-07-01,dpe maison individuelle,B,maison,2001-2005,H2a,50109,,1,1,1,Électricité,Électricité,VMC SF Auto réglable de 2001 à 2012,109.2,4,441,93,696,65.8,
2157E0742230N,2021-07-01,dpe issu d'une étude thermique réglementaire RT2012 bâtiment : appartement,F,appartement,1948-1974,,57683,,5,5,50,Gaz naturel,Non affecté,,318.1,70.9,1094.7,222.3,1381.7,63,3060
2112E1027930G,2021-07-01,dpe maison individuelle,E,maison,avant 1948,H2c,12057,,,3,,Fioul domestique,Fioul domestique,Ventilation par ouverture des fenêtres,224.6,69.4,3639,255,4215,200,
2167E0017588B,2021-07-01,dpe maison individuelle,E,maison,1978-1982,,67034,,1,1,1,Fioul domestique,Non affecté,,201,51.1,1046,229,1815,91.4,91.4
2119E0034297W,2021-07-01,dpe maison individuelle,D,maison,1989-2000,H1c,19258,,,2,,Fioul domestique,Non affecté,,204.3,46.5,1064,214,1466,90,
2194E0001083H,2021-07-01,dpe appartement individuel,G,appartement,avant 1948,H1a,94080,,,1,1,Électricité,Non affecté,,444.7,14.5,912.2,353.5,1278.1,,
2157E0741876X,2021-07-01,dpe issu d'une étude thermique réglementaire RT2012 bâtiment : appartement,F,appartement,1948-1974,,57683,,5,5,50,Gaz naturel,Non affecté,,318.1,70.9,1094.7,222.3,1381.7,63,3060
2138E1044400S,2021-07-01,dpe appartement individuel,D,appartement,1989-2000,H1c,38397,,,1,,Gaz naturel,Gaz naturel,VMC SF Auto réglable de 1982 à 2000,169,34.2,607,190,991,58.8,
2108E0881919H,2021-07-01,dpe maison individuelle,E,maison,avant 1948,H1b,08013,,,3,,Électricité,Fioul domestique,VMC SF Auto réglable de 2001 à 2012,196.6,56.7,1263,288,1841,98,
2150E0774557P,2021-07-01,dpe maison individuelle,C,maison,1983-1988,,50532,,1,1,1,Électricité,Non affecté,,131,5,495,108,760,61,61
2159E0000677I,2021-07-01,dpe appartement individuel,D,appartement,2006-2012,H1a,59183,,,1,1,Électricité,Non affecté,,190.6,5.8,200.8,255.1,497.2,,
2150E0774513X,2021-07-01,dpe maison individuelle,C,maison,2001-2005,,50463,,1,1,1,Électricité,Non affecté,,133.1,5,580,112,816,65.2,65.2
2142E0000104Q,2021-07-01,dpe maison individuelle,E,maison,avant 1948,H1c,42026,,,1,,Électricité,Non affecté,,281.3,58.6,2659.9,184.6,3303.3,,
2151E0034433I,2021-07-01,dpe maison individuelle,F,maison,1948-1974,,51454,,1,1,1,Électricité,Non affecté,,412.7,13.4,932,363,1370,31.2,31.2
2161E0031302H,2021-07-01,dpe appartement individuel,D,appartement,1948-1974,H1a,61483,,,2,,Électricité,Non affecté,,243.4,8.8,187,445,684,21,
